"","site_name","transect","species","family","size_cm","abundance","fg","fishing_ground","size_5cm_bin"
"1","Belanda Port",1,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"2","Belanda Port",1,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"3","Belanda Port",1,"cheilinus fasciatus","Labridae",23,1,"Macro-invertivore","tomia","20-25"
"4","Belanda Port",1,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"5","Belanda Port",1,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"6","Belanda Port",1,"forcipiger flavissimus","Chaetodontidae",20,2,"Micro-invertivore","tomia","20-25"
"7","Belanda Port",1,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"8","Belanda Port",1,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"9","Belanda Port",1,"hemigymnus melapterus","Labridae",30,1,"Macro-invertivore","tomia","30-35"
"10","Belanda Port",1,"macolor macularis","Lutjanidae",32,1,"Pisci-invertivore","tomia","30-35"
"11","Belanda Port",1,"macolor macularis","Lutjanidae",35,1,"Pisci-invertivore","tomia","35-40"
"12","Belanda Port",1,"melichthys vidua","Balistidae",20,1,"Planktivore","tomia","20-25"
"13","Belanda Port",1,"naso lituratus","Acanthuridae",24,2,"Browser","tomia","20-25"
"14","Belanda Port",1,"naso lituratus","Acanthuridae",24,1,"Browser","tomia","20-25"
"15","Belanda Port",1,"naso lituratus","Acanthuridae",24,1,"Browser","tomia","20-25"
"16","Belanda Port",1,"odonus niger","Balistidae",20,30,"Planktivore","tomia","20-25"
"17","Belanda Port",1,"oxycheilinus celebicus","Labridae",24,1,"Micro-invertivore","tomia","20-25"
"18","Belanda Port",1,"parupeneus multifasciatus","Mullidae",26,3,"Macro-invertivore","tomia","25-30"
"19","Belanda Port",1,"siganus vulpinus","Siganidae",21,2,"Grazer","tomia","20-25"
"20","Belanda Port",1,"thalassoma lunare","Labridae",20,1,"Micro-invertivore","tomia","20-25"
"21","Belanda Port",1,"thalassoma lunare","Labridae",20,1,"Micro-invertivore","tomia","20-25"
"22","Belanda Port",1,"zanclus cornutus","Zanclidae",15,2,"Micro-invertivore","tomia","15-20"
"23","Belanda Port",1,"zebrasoma scopas","Acanthuridae",16,1,"Grazer","tomia","15-20"
"24","Belanda Port",1,"zebrasoma scopas","Acanthuridae",16,3,"Grazer","tomia","15-20"
"25","Belanda Port",2,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia","20-25"
"26","Belanda Port",2,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia","20-25"
"27","Belanda Port",2,"acanthurus pyroferus","Acanthuridae",20,1,"Grazer","tomia","20-25"
"28","Belanda Port",1,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"29","Belanda Port",1,"balistapus undulatus","Balistidae",19,1,"Macro-invertivore","tomia","15-20"
"30","Belanda Port",1,"cephalopholis urodeta","Serranidae",26,1,"Pisci-invertivore","tomia","25-30"
"31","Belanda Port",1,"cheilinus fasciatus","Labridae",35,1,"Macro-invertivore","tomia","35-40"
"32","Belanda Port",1,"cheilinus fasciatus","Labridae",33,1,"Macro-invertivore","tomia","30-35"
"33","Belanda Port",3,"ctenochaetus striatus","Acanthuridae",15,1,"Detritivore","tomia","15-20"
"34","Belanda Port",3,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"35","Belanda Port",3,"epibulus brevis","Labridae",16,1,"Pisci-invertivore","tomia","15-20"
"36","Belanda Port",3,"forcipiger flavissimus","Chaetodontidae",20,2,"Micro-invertivore","tomia","20-25"
"37","Belanda Port",3,"forcipiger flavissimus","Chaetodontidae",20,3,"Micro-invertivore","tomia","20-25"
"38","Belanda Port",3,"forcipiger flavissimus","Chaetodontidae",20,1,"Micro-invertivore","tomia","20-25"
"39","Belanda Port",3,"forcipiger flavissimus","Chaetodontidae",20,1,"Micro-invertivore","tomia","20-25"
"40","Belanda Port",3,"lutjanus ehrenbergii","Lutjanidae",35,1,"Pisci-invertivore","tomia","35-40"
"41","Belanda Port",3,"lutjanus ehrenbergii","Lutjanidae",33,15,"Pisci-invertivore","tomia","30-35"
"42","Belanda Port",3,"parupeneus crassilabris","Mullidae",27,2,"Macro-invertivore","tomia","25-30"
"43","Belanda Port",3,"siganus corallinus","Siganidae",19,1,"Grazer","tomia","15-20"
"44","Belanda Port",3,"zanclus cornutus","Zanclidae",15,1,"Micro-invertivore","tomia","15-20"
"45","Belanda Port",3,"zanclus cornutus","Zanclidae",15,1,"Micro-invertivore","tomia","15-20"
"46","Belanda Port",3,"zebrasoma scopas","Acanthuridae",16,1,"Grazer","tomia","15-20"
"47","Belanda Port",3,"zebrasoma scopas","Acanthuridae",16,1,"Grazer","tomia","15-20"
"48","Belanda Port",1,"scarus niger","Scarini-Labridae",20,1,"Excavator/scraper","tomia","20-25"
"49","Belanda Port",1,"scarus niger","Scarini-Labridae",12,1,"Excavator/scraper","tomia","10-15"
"50","Belanda Port",2,"aulostomus chinensis","Aulostomidae",35,1,"Piscivore","tomia","35-40"
"51","Belanda Port",2,"chlorurus bleekeri","Scarini-Labridae",25,2,"Excavator/scraper","tomia","25-30"
"52","Belanda Port",2,"chlorurus sordidus","Scarini-Labridae",13,1,"Excavator/scraper","tomia","10-15"
"53","Belanda Port",2,"chlorurus sordidus","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"54","Belanda Port",2,"chlorurus spp.","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"55","Belanda Port",1,"halichoeres hortulanus","Labridae",21,1,"Micro-invertivore","tomia","20-25"
"56","Belanda Port",1,"halichoeres spp.","Labridae",22,1,"Micro-invertivore","tomia","20-25"
"57","Belanda Port",1,"arothron stellatus","Tetraodontidae",60,1,"Macro-invertivore","tomia","60-65"
"58","Belanda Port",1,"aulostomus chinensis","Aulostomidae",30,1,"Piscivore","tomia","30-35"
"59","Belanda Port",1,"chlorurus bleekeri","Scarini-Labridae",30,1,"Excavator/scraper","tomia","30-35"
"60","Belanda Port",1,"chlorurus sordidus","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"61","Belanda Port",1,"chlorurus sordidus","Scarini-Labridae",16,1,"Excavator/scraper","tomia","15-20"
"62","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"63","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",25,1,"Excavator/scraper","tomia","25-30"
"64","Belanda Port",3,"chlorurus bleekeri","Scarini-Labridae",28,2,"Excavator/scraper","tomia","25-30"
"65","Belanda Port",3,"chlorurus sordidus","Scarini-Labridae",15,1,"Excavator/scraper","tomia","15-20"
"66","Belanda Port",3,"chlorurus sordidus","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"67","Belanda Port",3,"chlorurus spp.","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"68","Belanda Port",3,"paracirrhites forsteri","Cirrhitidae",10,1,"Micro-invertivore","tomia","10-15"
"69","Belanda Port",2,"scarus niger","Scarini-Labridae",18,1,"Excavator/scraper","tomia","15-20"
"70","Belanda Port",2,"siganus puellus","Siganidae",24,2,"Grazer","tomia","20-25"
